title,rating,popularity,year,meta_score,tags,budget,first_us_ca
The Shawshank Redemption,9.3,53,1994,82,"['Epic', 'Period Drama', 'Prison Drama', 'Drama']","$25,000,000 (estimated)","$727,327"
Breaking Bad,9.5,21,,,"['Drug Crime', 'Epic', 'Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Crime', 'Drama', 'Thriller']",,
